projectid,name,cat_id,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country
1000002330,The Songs of Adelaide & Abullah,1,Poetry,Publishing,GBP,09/10/15 11:36,1000,11/08/15 12:12,0,failed,0,GB
1000004038,Where is Hank?,2,Narrative Film,Film & Video,USD,26/02/13 0:20,45000,12/01/13 0:20,220,failed,3,US
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,3,Music,Music,USD,16/04/12 4:24,5000,17/03/12 3:24,1,failed,1,US
1000011046,Community Film Project: The Art of Neighborhood Filmmaking,4,Film & Video,Film & Video,USD,29/08/15 1:00,19500,04/07/15 8:35,1283,canceled,14,US
1000014025,Monarch Espresso Bar,5,Restaurants,Food,USD,01/04/16 13:38,50000,26/02/16 13:38,52375,successful,224,"N""0"
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,6,Food,Food,USD,21/12/14 18:30,1000,01/12/14 18:30,1205,successful,16,US
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,7,Drinks,Food,USD,17/03/16 19:05,25000,01/02/16 20:05,453,failed,40,US
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,8,Product Design,Design,USD,29/05/14 18:14,125000,24/04/14 18:14,8233,canceled,58,US
100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),9,Documentary,Film & Video,USD,10/08/14 21:55,65000,11/07/14 21:55,6240.57,canceled,43,US
100004721,Of Jesus and Madmen,10,Nonfiction,Publishing,CAD,09/10/13 18:19,2500,09/09/13 18:19,0,failed,0,CA
100005484,Lisa Lim New CD!,11,Indie Rock,Music,USD,08/04/13 6:42,12500,09/03/13 6:42,12700,successful,100,US
1000055792,The Cottage Market,12,Crafts,Crafts,USD,02/10/14 17:11,5000,02/09/14 17:11,0,failed,0,US
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,13,Games,Games,USD,25/03/16 22:01,200000,09/02/16 23:01,0,failed,0,US
1000064368,Survival Rings,14,Design,Design,USD,28/02/15 2:10,2500,29/01/15 2:10,664,failed,11,US
1000064918,The Beard,15,Comic Books,Comics,USD,08/11/14 22:27,1500,09/10/14 22:27,395,failed,16,US
1000068480,Notes From London: Above & Below,16,Art Books,Publishing,USD,10/05/15 21:20,3000,10/04/15 21:20,789,failed,20,US
1000070642,Mike Corey's Darkness & Light Album,3,Music,Music,USD,17/08/12 14:11,250,02/08/12 14:11,250,successful,7,"N""0"
1000071625,Boco Tea,6,Food,Food,USD,02/06/12 17:24,5000,03/05/12 17:24,1781,failed,40,US
1000072011,CMUK. Shoes: Take on Life Feet First.,17,Fashion,Fashion,USD,30/12/13 7:06,20000,25/11/13 7:06,34268,successful,624,US
1000082254,Alice in Wonderland in G Minor,18,Theater,Theater,USD,15/06/14 10:09,3500,16/05/14 10:10,650,failed,12,US
1000087442,Mountain brew: A quest for alcohol sustainability,7,Drinks,Food,NOK,25/02/15 19:17,500,26/01/15 19:17,48,failed,3,NO
1000091520,The Book Zoo - A Mini-Comic,19,Comics,Comics,USD,12/11/14 17:15,175,23/10/14 17:15,701.66,successful,66,US
1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,3,Music,Music,USD,06/01/11 23:16,10000,07/12/10 23:16,15827,successful,147,US
1000103948,Superhero Teddy Bear,20,DIY,Crafts,GBP,05/01/16 20:09,12000,06/12/15 20:09,0,failed,0,"N""0"
1000104688,Permaculture Skills,21,Webseries,Film & Video,CAD,14/12/14 18:02,17757,14/11/14 18:02,48905,successful,571,CA
